# In the Columbia Basin every agency and group has a slightly different naming convention,,,,,,,,,,,,,,,,,,
# This file is THE definitive source to lookup naming conventions,,,,,,,,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,,,,,,,,
"# Feel free to open this file in excel and apply the ""filter"" feature to sort through this list",,,,,,,,,,,,,,,,,,
OrderID,Modified_Flow_Code,CBT_Code,CBT_Name,CBT_Code_Lake,ResSim_Name,NWRFC_Code,USGS_Code,USGS_Name,,ResvOrderID,Modified Flow Code,CBT Code,CBT_Name,CBT_Code_Lake,ResSim_Name,NWRFC_Code,USGS_Code,USGS_Name
60,,SALY,Salt R Abv Palisades Re nr Etna,,Salt_HW,SALW4,13027500,SALT RIVER AB RESERVOIR NR ETNA WY                 ,,58,MCN,MCN,McNary Dam,,McNary,MCDW1,,
61,,PAL,Palisades Dam near Irwin,,Palisades,PALI1,13032500,SNAKE RIVER NR IRWIN ID                            ,,59,JDA,JDA,John Day Dam,,John Day,JDAO3,,
63,,HEII,Snake R nr Heise nr Blackfoot,,Heise,HEII1,13037500,SNAKE RIVER NR HEISE ID                            ,,60,ROU,ROU,,,Round Butte,,,
64,,LORI,Snake R near Lorenzo 1N,,Lorenzo,LORI1,13038500,SNAKE RIVER AT LORENZO ID                          ,,61,PEL,PEL,,,Pelton,,,
65,,REXI,Henry's Fork near Rexburg 6W,,Rexburg Gage,REXI1,13056500,HENRYS FORK NR REXBURG ID                          ,,62,RER,RER,,,Pelton ReReg,,,
66,,SHYI,Snake R near Shelley 3N,,Shelley,SHYI1,13060000,SNAKE RIVER NR SHELLEY ID                          ,,63,TDA,TDA,The Dalles Dam & Lake Celilo,,The Dalles,TDAO3,,
67,,BLFI,Blackfoot Riv Nr Blackfoot-ID,,Blackfoot_HW,BLFI1,13068500,BLACKFOOT RIVER NR BLACKFOOT ID                    ,,64,BON,BON,Bonneville Dam & Lake,,Bonneville,BONO3,,
69,,MINI,Snake R nr Minidoka nr Rupert,,Minidoka,MINI1,13081500,SNAKE R NR MINIDOKA ID (AT HOWELLS FERRY)          ,,65,HCR,HCR,Hills Creek Dam,,Hills Creek,HCRO3,,
70,,MILI,Snake R near Milner 12W,,Milner,MILI1,13087995,SNAKE RIVER GAGING STATION AT MILNER ID            ,,66,LOP,LOP,Lookout Point Dam,,Lookout Point,LOPO3,,
72,,STFI,Snake R near Twin Falls,,Kimberly,STFI1,13090500,SNAKE RIVER NR TWIN FALLS ID                       ,,67,DEX,DEX,Dexter Dam,,Dexter,,,
73,,MLDI,Malad R near Gooding,,Gooding_HW,MLDI1,13152500,MALAD RIVER NR GOODING ID                          ,,68,FAL,FAL,Fall Creek Dam,,Fall Creek,FALO3,,
74,,SKHI,Snake R @ King Hill,,King Hill,SKHI1,13154500,SNAKE RIVER AT KING HILL ID                        ,,69,DOR,DOR,Dorena Dam,,Dorena,DORO3,,
75,,SWAI,Snake R near Murphy 8NE,,Murphy,SWAI1,13172500,SNAKE RIVER NR MURPHY ID,,70,COT,COT,Cottage Grove Dam,,Cottage Grove,COTO3,,
76,,OWY,Lk Owhee&Owyhee R nr Adrian,,Owyhee,OWYO3,13183000,OWYHEE RIVER BELOW OWYHEE DAM OR                  ,,71,CGR,CGR,Cougar Dam,,Cougar,CGRO3,,
78,,ANDI,S Fk Boise R@Andersn Rnch Dm,,Anderson Ranch,ANDI1,13190500,SF BOISE RIVER AT ANDERSON RANCH DAM ID            ,,72,BLU,BLU,Blue River Dam,,Blue River,BLUO3,,
79,,SFNI,Sf Boise R@Neal Brg Nr Arrowrock,,Arrowrock_IN_SF,SFNI1,13192200,SF BOISE RIVER AT NEAL BRIDGE NR ARROWROCK DAM ID  ,,73,FRN,FRN,Fern Ridge Dam,,Fern Ridge,FRNO3,,
