# Diversion and return flows, cfs. One row per day of a generic (non-leap) year.
# Read by scripts/externalRules/DiversionFromCSV.py
#
# Column headers are ResSim element names. A positive number takes water out of the
# network, a negative number puts it back, so the Return columns are negative.
#
# GENERATED from data/daily_diversions_returns_ALT.csv by
# scripts/externalRules/_offline_tests/build_DiversionConfig.py
# Do not edit by hand -- rerun that script instead.
#
# The source holds one value per MONTH, repeated across every day of that month.
# It is written out day by day only to match the layout the other config files use.
Month,Day,Diversion 1 down,Diversion 1 up,Diversion 2,Diversion 3,Diversion 4,Diversion 5,Diversion 6,Diversion 7,Diversion 8,Diversion 9,Diversion 10,Diversion 11,Diversion 12,Diversion 13,Diversion 14,Diversion 15,Return 1 down,Return 1 up,Return 2,Return 3,Return 4,Return 5,Return 6,Return 7,Return 8,Return 9,Return 10,Return 11,Return 12,Return 13,Return 14,Return 15
7,5,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,6,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,7,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,8,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,9,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,10,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,11,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,12,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,13,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,14,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,15,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,16,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,17,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,18,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,19,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,20,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,21,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,22,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
