DATE,DET,GPR,FOS,CGR,BLU,FAL,HCR,LOP,DOR,FRN,COT
12Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
13Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
14Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
15Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
16Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
17Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
18Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
19Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
20Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
21Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
22Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
23Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
24Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
25Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
26Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
27Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
28Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
29Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
30Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
01Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
02Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
03Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
04Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
05Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
06Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
07Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
08Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
09Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
10Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
11Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
12Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
13Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
14Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
15Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
16Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
17Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
18Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
19Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
20Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
21Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
22Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
23Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
24Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
25Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
26Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
27Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
28Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
29Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
30Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
31Jul2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
01Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
02Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
03Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
04Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
05Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
06Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
07Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
08Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
09Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
10Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
11Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
12Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
13Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
14Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
15Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
16Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
17Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
18Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
19Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
20Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
21Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
22Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
23Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
24Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
25Aug2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
