"# In the Columbia Basin, every agency and group has a slightly different naming convention",,,,,,,,,,,
# This file is the definitive source to lookup naming conventions,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,
"#For natural lakes (e.g. Arrow), put the lake elevation gage in the ""CBT_Code_Lake"" field, e.g. QBYB",,,,,,,,,,,
"# Feel free to open this file in excel and apply the ""filter"" feature to sort through this list",,,,,,,,,,,
ORDER_ID,POINT_TYPE,MODIFIED_FLOW_CODE,CBT_CODE,CBT_NAME,CBT_CODE_LAKE,RESSIM_NAME,NWRFC_CODE,USGS_CODE,USGS_NAME,HYDSIM_PROJECT_CODE,NOTES
117,Reservoir,,OWY,Lk Owhee&Owyhee R nr Adrian,,Owyhee,OWYO3,,,,
118,Junction,,OWY,Lk Owhee&Owyhee R nr Adrian,,Owyhee,OWYO3,13183000,OWYHEE RIVER BELOW OWYHEE DAM OR                  ,,
119,Reservoir,,AND,Anderson Ranch Dam nr Mtn Home,,Anderson Ranch,ARAI1,,,,
120,Junction,,ANDI,S Fk Boise R@Andersn Rnch Dm,,Anderson Ranch,ANDI1,13190500,SF BOISE RIVER AT ANDERSON RANCH DAM ID            ,,
121,Junction,,SFNI,Sf Boise R@Neal Brg Nr Arrowrock,,Arrowrock_IN_SF,SFNI1,13192200,SF BOISE RIVER AT NEAL BRIDGE NR ARROWROCK DAM ID  ,,
122,Junction,,BTSI,Boise R near Twin Springs,,Arrowrock_IN_MF,BTSI1,13185000,BOISE RIVER NR TWIN SPRINGS ID                     ,,
123,Reservoir,,ARK,Arrowrock Dam,,Arrowrock,ARKI1,,,,
124,Junction,,MORI,Mores Cr Abv Robie Cr nr Boise,,Mores_HW,MORI1,13200000,MORES CREEK AB ROBIE CREEK NR ARROWROCK DAM ID     ,,
125,Reservoir,,LUC,Lucky Peak Dam,,Lucky Peak,LUCI1,,,,
126,Junction,,BIGI,Boise R@Glenwd Brdg nr Boise,,Glenwood Bridge,BIGI1,13206000,BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID         ,,
127,Junction,,PARI,Boise R near Parma 2W,,DD_Boise nr Parma,PARI1,13213000,BOISE RIVER NR PARMA ID                            ,,
128,Junction,,SNYI,Snake R@Nyssa nr Payette,,Nyssa,SNYI1,13213100,SNAKE RIVER AT NYSSA OR                            ,,
129,Reservoir,,DED,Deadwood Res near Lowman,,Deadwood,DEDI1,,,,
130,Junction,,DEDI,Deadwood R Blw Deadwd Res,,Deadwood,DRBI1,13236500,DEADWOOD RIVER BL DEADWOOD RES NR LOWMAN ID        ,,
131,Reservoir,,CSC,Cascade Dam WS near Cascade 1NW,,Cascade,CSDI1,,,,
132,Junction,,PRLI,South Fork Payette R nr Lowman,,Payette SF_HW,PRLI1,13235000,SOUTH FORK PAYETTE RIVER AT LOWMAN ID             ,,
133,Junction,,MFPI,Middle Fk Payette R nr Crouch,,Payette MF_HW,MFPI1,13237920,MIDDLE FORK PAYETTE RIVER NR CROUCH ID             ,,
134,Junction,,HRSI,Payette R near Horseshoe Bend,,Horseshoe Bend,HRSI1,13247500,PAYETTE RIVER NR HORSESHOE BEND ID                 ,,
